"mood","language","playlist","quote","bg_from","bg_mid","bg_to"
"chill","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX4WYpdgoIcn6","Breathe in. Let go. Just vibe 🍃","#064e3b","#065f46","#047857"
"chill","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","Breathe in. Let go. Just vibe 🍃","#064e3b","#065f46","#047857"
"chill","tamil","https://open.spotify.com/embed/playlist/3WOFKrk0mhifTvSH6Q1ug7","Breathe in. Let go. Just vibe 🍃","#064e3b","#065f46","#047857"
"chill","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","Breathe in. Let go. Just vibe 🍃","#064e3b","#065f46","#047857"
"chill","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DWWNKU278VyNu","Breathe in. Let go. Just vibe 🍃","#064e3b","#065f46","#047857"
"angry","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX1tyCD9QhIWF","Channel the fire. Let the music roar 🔥","#7f1d1d","#991b1b","#b91c1c"
"angry","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX1rVvRgjX59F","Channel the fire. Let the music roar 🔥","#7f1d1d","#991b1b","#b91c1c"
"angry","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX84EApEEEkUc","Channel the fire. Let the music roar 🔥","#7f1d1d","#991b1b","#b91c1c"
"angry","tamil","https://open.spotify.com/embed/playlist/7vWGyhPeRqexdwWSzwW6Aa","Channel the fire. Let the music roar 🔥","#7f1d1d","#991b1b","#b91c1c"
"angry","kannada","https://open.spotify.com/embed/playlist/6mBisbb08vGe46EJokPi2S","Channel the fire. Let the music roar 🔥","#7f1d1d","#991b1b","#b91c1c"
"angry","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX3D2KsXoP0n1","Channel the fire. Let the music roar 🔥","#7f1d1d","#991b1b","#b91c1c"
"tired","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DWX83CujKHHOn","Rest is not lazy — it's restoration 🌙","#1e1b4b","#312e81","#3730a3"
"tired","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DWZd79rJ6a7lp","Rest is not lazy — it's restoration 🌙","#1e1b4b","#312e81","#3730a3"
"tired","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","Rest is not lazy — it's restoration 🌙","#1e1b4b","#312e81","#3730a3"
"tired","tamil","https://open.spotify.com/embed/playlist/3WOFKrk0mhifTvSH6Q1ug7","Rest is not lazy — it's restoration 🌙","#1e1b4b","#312e81","#3730a3"
"tired","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","Rest is not lazy — it's restoration 🌙","#1e1b4b","#312e81","#3730a3"
"tired","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DWWNKU278VyNu","Rest is not lazy — it's restoration 🌙","#1e1b4b","#312e81","#3730a3"
"focused","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DWZeKCadgRdKQ","Flow state: unlocked 🧠","#1e1b4b","#4c1d95","#5b21b6"
"focused","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX8NTLI2TtZa6","Flow state: unlocked 🧠","#1e1b4b","#4c1d95","#5b21b6"
"focused","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","Flow state: unlocked 🧠","#1e1b4b","#4c1d95","#5b21b6"
"focused","tamil","https://open.spotify.com/embed/playlist/6WAQGjugVESXr6UTs1B6JD","Flow state: unlocked 🧠","#1e1b4b","#4c1d95","#5b21b6"
"focused","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","Flow state: unlocked 🧠","#1e1b4b","#4c1d95","#5b21b6"
"focused","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX0YqJHUZrLcd","Flow state: unlocked 🧠","#1e1b4b","#4c1d95","#5b21b6"
"party","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX0BcQWzuB7ZO","The night is young — make it count 🎊","#7c2d12","#9a3412","#c2410c"
"party","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DXaXB8fQg7xif","The night is young — make it count 🎊","#7c2d12","#9a3412","#c2410c"
"party","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX84EApEEEkUc","The night is young — make it count 🎊","#7c2d12","#9a3412","#c2410c"
"party","tamil","https://open.spotify.com/embed/playlist/37i9dQZF1DX0nA91dV2ts4","The night is young — make it count 🎊","#7c2d12","#9a3412","#c2410c"
"party","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX9i6vCEoH6jH","The night is young — make it count 🎊","#7c2d12","#9a3412","#c2410c"
"party","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX3D2KsXoP0n1","The night is young — make it count 🎊","#7c2d12","#9a3412","#c2410c"
"romantic","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX14CbVHtvHRB","Love is the only song that never ends 💕","#831843","#9d174d","#be185d"
"romantic","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DWXbttAJcbphz","Love is the only song that never ends 💕","#831843","#9d174d","#be185d"
"romantic","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DWW8UKcWYfq9u","Love is the only song that never ends 💕","#831843","#9d174d","#be185d"
"romantic","tamil","https://open.spotify.com/embed/playlist/37i9dQZF1DWYfvJNWU1bKi","Love is the only song that never ends 💕","#831843","#9d174d","#be185d"
"romantic","kannada","https://open.spotify.com/embed/playlist/4dYN1nJSVMi9zPseRrPDr5","Love is the only song that never ends 💕","#831843","#9d174d","#be185d"
"romantic","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX3lmpQSniUBH","Love is the only song that never ends 💕","#831843","#9d174d","#be185d"
"motivated","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX76Wlfdnj7AP","Every rep. Every step. You've got this 💪","#14532d","#15803d","#16a34a"
"motivated","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX70RN3TfWWJh","Every rep. Every step. You've got this 💪","#14532d","#15803d","#16a34a"
"motivated","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX84EApEEEkUc","Every rep. Every step. You've got this 💪","#14532d","#15803d","#16a34a"
"motivated","tamil","https://open.spotify.com/embed/playlist/4Ky4vveGq77DAgV3Z2Lk4e","Every rep. Every step. You've got this 💪","#14532d","#15803d","#16a34a"
"motivated","kannada","https://open.spotify.com/embed/playlist/6mBisbb08vGe46EJokPi2S","Every rep. Every step. You've got this 💪","#14532d","#15803d","#16a34a"
"motivated","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX0YqJHUZrLcd","Every rep. Every step. You've got this 💪","#14532d","#15803d","#16a34a"
"heartbreak","bollywood","https://open.spotify.com/embed/playlist/4C34CZdaGedDSVEJ4fyqmd","Let the music hold what you can't 💔","#450a0a","#7f1d1d","#991b1b"
"heartbreak","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX7qK8ma5wgG1","Let the music hold what you can't 💔","#450a0a","#7f1d1d","#991b1b"
"heartbreak","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","Let the music hold what you can't 💔","#450a0a","#7f1d1d","#991b1b"
"heartbreak","tamil","https://open.spotify.com/embed/playlist/1uLtum4DGySTEG4LpyCkEW","Let the music hold what you can't 💔","#450a0a","#7f1d1d","#991b1b"
"heartbreak","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","Let the music hold what you can't 💔","#450a0a","#7f1d1d","#991b1b"
"heartbreak","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX3D2KsXoP0n1","Let the music hold what you can't 💔","#450a0a","#7f1d1d","#991b1b"
"nostalgic","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX4o1oenSJRJd","Some songs take you home 🌅","#78350f","#92400e","#b45309"
"nostalgic","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX4UtSsGT1Sbe","Some songs take you home 🌅","#78350f","#92400e","#b45309"
"nostalgic","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","Some songs take you home 🌅","#78350f","#92400e","#b45309"
"nostalgic","tamil","https://open.spotify.com/embed/playlist/37i9dQZF1DWY4xHQp97fN6","Some songs take you home 🌅","#78350f","#92400e","#b45309"
"nostalgic","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","Some songs take you home 🌅","#78350f","#92400e","#b45309"
"nostalgic","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX3D2KsXoP0n1","Some songs take you home 🌅","#78350f","#92400e","#b45309"
"workout","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX76Wlfdnj7AP","Beat drops hit harder than dumbbells 🏋️","#083344","#0e7490","#0891b2"
"workout","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX70RN3TfWWJh","Beat drops hit harder than dumbbells 🏋️","#083344","#0e7490","#0891b2"
"workout","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX84EApEEEkUc","Beat drops hit harder than dumbbells 🏋️","#083344","#0e7490","#0891b2"
"workout","tamil","https://open.spotify.com/embed/playlist/3TCmVKURNBtXWEsdu9iEwC","Beat drops hit harder than dumbbells 🏋️","#083344","#0e7490","#0891b2"
"workout","kannada","https://open.spotify.com/embed/playlist/01oQrmfcHr3yKZoPTi1uZq","Beat drops hit harder than dumbbells 🏋️","#083344","#0e7490","#0891b2"
"workout","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX3D2KsXoP0n1","Beat drops hit harder than dumbbells 🏋️","#083344","#0e7490","#0891b2"
"rainy","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DXbvABJXBIyiY","Rain and music — nature's duet 🌧️","#0c1445","#1e3a5f","#1e40af"
"rainy","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX2yvmlOdMYzV","Rain and music — nature's duet 🌧️","#0c1445","#1e3a5f","#1e40af"
"rainy","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","Rain and music — nature's duet 🌧️","#0c1445","#1e3a5f","#1e40af"
"rainy","tamil","https://open.spotify.com/embed/playlist/3WOFKrk0mhifTvSH6Q1ug7","Rain and music — nature's duet 🌧️","#0c1445","#1e3a5f","#1e40af"
"rainy","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","Rain and music — nature's duet 🌧️","#0c1445","#1e3a5f","#1e40af"
"rainy","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DWWNKU278VyNu","Rain and music — nature's duet 🌧️","#0c1445","#1e3a5f","#1e40af"
"latenight","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX7qK8ma5wgG1","The city sleeps. You don't. 🌙","#0f0a1e","#1e1b4b","#312e81"
"latenight","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX4E3UdUs7fUx","The city sleeps. You don't. 🌙","#0f0a1e","#1e1b4b","#312e81"
"latenight","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","The city sleeps. You don't. 🌙","#0f0a1e","#1e1b4b","#312e81"
"latenight","tamil","https://open.spotify.com/embed/playlist/3PN1BIrduzlZOcXXVSBf83","The city sleeps. You don't. 🌙","#0f0a1e","#1e1b4b","#312e81"
"latenight","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","The city sleeps. You don't. 🌙","#0f0a1e","#1e1b4b","#312e81"
"latenight","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DWWNKU278VyNu","The city sleeps. You don't. 🌙","#0f0a1e","#1e1b4b","#312e81"
"devotional","bollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DX1BzILRveYHb","Still the mind. Fill the soul 🙏","#431407","#7c2d12","#9a3412"
"devotional","hollywood","https://open.spotify.com/embed/playlist/37i9dQZF1DWVpjAJGB70vU","Still the mind. Fill the soul 🙏","#431407","#7c2d12","#9a3412"
"devotional","marathi","https://open.spotify.com/embed/playlist/37i9dQZF1DX5TOdVfuUpqG","Still the mind. Fill the soul 🙏","#431407","#7c2d12","#9a3412"
"devotional","tamil","https://open.spotify.com/embed/playlist/3O3m8jxqqMXr0Iai69Xd1Y","Still the mind. Fill the soul 🙏","#431407","#7c2d12","#9a3412"
"devotional","kannada","https://open.spotify.com/embed/playlist/37i9dQZF1DX0smrEQpQcAz","Still the mind. Fill the soul 🙏","#431407","#7c2d12","#9a3412"
"devotional","malayalam","https://open.spotify.com/embed/playlist/37i9dQZF1DX3D2KsXoP0n1","Still the mind. Fill the soul 🙏","#431407","#7c2d12","#9a341"
